Alpha,Beta,Sun Detection,Error Code
-24.58685302734375,-20.5784912109375,13.245494842529297,11
-24.558887481689453,-20.67296600341797,13.271472930908203,11
-24.586566925048828,-20.787944793701172,13.280017852783203,11
-24.389493942260742,-20.731931686401367,13.279942512512207,11
-24.49380874633789,-20.61162567138672,13.246798515319824,11
-24.58483123779297,-20.62469482421875,13.240947723388672,11
-24.730791091918945,-20.918039321899414,13.230428695678711,11
-24.605995178222656,-20.949174880981445,13.247021675109863,11
-24.45343780517578,-20.567581176757812,13.292830467224121,11
-24.51543617248535,-20.548816680908203,13.289630889892578,11
-24.631406784057617,-20.622753143310547,13.26132583618164,11
-24.928403854370117,-20.775182723999023,13.236145973205566,11
-24.664804458618164,-20.7557373046875,13.233046531677246,11
-24.397729873657227,-20.588716506958008,13.272422790527344,11
-24.457202911376953,-20.578807830810547,13.284004211425781,11
-24.675729751586914,-20.82712173461914,13.27347183227539,11
-24.649824142456055,-20.959270477294922,13.2381010055542,11
-24.59564781188965,-20.646345138549805,13.254212379455566,11
-24.669902801513672,-20.624553680419922,13.25487232208252,11
-24.639488220214844,-20.60992431640625,13.253952980041504,11
-24.65774154663086,-20.645309448242188,13.262195587158203,11
-24.878053665161133,-20.831335067749023,13.23104476928711,11
-24.814292907714844,-20.854665756225586,13.237987518310547,11
-24.710771560668945,-20.716012954711914,13.270511627197266,11
-24.647911071777344,-20.612855911254883,13.288322448730469,11
-24.796607971191406,-20.852188110351562,13.226524353027344,11
-24.730932235717773,-20.88265609741211,13.193914413452148,11
-24.741933822631836,-20.756084442138672,13.229896545410156,11
-24.907360076904297,-20.86139678955078,13.209023475646973,11
-24.779123306274414,-20.7464542388916,13.23560619354248,11
-24.828845977783203,-20.758464813232422,13.229392051696777,11
-24.80450439453125,-20.728078842163086,13.241313934326172,11
-24.4698486328125,-20.546911239624023,13.27369213104248,11
-24.484777450561523,-20.847448348999023,13.235207557678223,11
-24.64983367919922,-20.859514236450195,13.218761444091797,11
-24.6282901763916,-20.642793655395508,13.256107330322266,11
-24.654563903808594,-20.747285842895508,13.225078582763672,11
-24.73029136657715,-20.80451202392578,13.23353385925293,11
-24.79837417602539,-20.712207794189453,13.269943237304688,11
-24.729991912841797,-20.633390426635742,13.294118881225586,11
-24.59332847595215,-20.557954788208008,13.283032417297363,11
-24.60247802734375,-20.538841247558594,13.287803649902344,11
-24.658828735351562,-20.74114990234375,13.2750883102417,11
-24.520004272460938,-20.552946090698242,13.28088092803955,11
-24.55553436279297,-20.481525421142578,13.283967018127441,11
-24.775279998779297,-20.627269744873047,13.254158020019531,11
-24.591489791870117,-20.557905197143555,13.282755851745605,11
-24.335063934326172,-20.587785720825195,13.322582244873047,11
-24.11734390258789,-20.542034149169922,13.342705726623535,11
-24.364484786987305,-20.586071014404297,13.288744926452637,11
-24.787120819091797,-20.638134002685547,13.205042839050293,11
-24.89554214477539,-20.649011611938477,13.21707534790039,11
-24.829940795898438,-20.857158660888672,13.210206031799316,11
-24.60284996032715,-20.696043014526367,13.257030487060547,11
-24.4422664642334,-20.798866271972656,13.258196830749512,11
-24.339975357055664,-20.583030700683594,13.287796020507812,11
-24.437231063842773,-20.452425003051758,13.284460067749023,11
-24.76412582397461,-20.715147018432617,13.20625114440918,11
-24.594337463378906,-20.681564331054688,13.244479179382324,11
-24.599458694458008,-20.799209594726562,13.245255470275879,11
-24.631921768188477,-20.85952377319336,13.233298301696777,11
-24.553091049194336,-20.754846572875977,13.283355712890625,11
-24.824451446533203,-20.742778778076172,13.264760971069336,11
-25.021738052368164,-20.904308319091797,13.220479011535645,11
-24.96674346923828,-20.995223999023438,13.214348793029785,11
-24.614809036254883,-20.64427947998047,13.271530151367188,11
-24.49588394165039,-20.515338897705078,13.296542167663574,11
-24.56975555419922,-20.604656219482422,13.284902572631836,11
-24.750137329101562,-20.85042953491211,13.238399505615234,11
-24.7549991607666,-20.878992080688477,13.22132682800293,11
-24.81606674194336,-20.815380096435547,13.220845222473145,11
-24.626760482788086,-20.76363754272461,13.22815990447998,11
-24.495586395263672,-20.654367446899414,13.278526306152344,11
-24.57708740234375,-20.554800033569336,13.288819313049316,11
-24.686386108398438,-20.47991180419922,13.263280868530273,11
-24.773242950439453,-20.641006469726562,13.238067626953125,11
-24.766407012939453,-20.762401580810547,13.24261474609375,11
-24.52157211303711,-20.566152572631836,13.289189338684082,11
-24.510087966918945,-20.5877685546875,13.287927627563477,11
-24.609907150268555,-20.694448471069336,13.26945686340332,11
-24.681123733520508,-20.586780548095703,13.272270202636719,11
-24.693647384643555,-20.70098876953125,13.253308296203613,11
-24.75548553466797,-20.73166275024414,13.262704849243164,11
-24.838964462280273,-20.75762939453125,13.2767333984375,11
-24.716049194335938,-20.72905731201172,13.26972770690918,11
