Alpha,Beta,Sun Detection,Error Code
-41.32962417602539,-44.531063079833984,7.821063041687012,11
-41.530208587646484,-45.014854431152344,7.8368730545043945,11
-40.75088882446289,-43.7686653137207,7.750304222106934,11
-42.04954528808594,-45.22767639160156,7.896139144897461,11
-42.104148864746094,-45.147186279296875,7.896651268005371,11
-41.44837951660156,-44.006675720214844,7.805984973907471,11
-41.20924758911133,-43.774574279785156,7.797926902770996,11
-41.525550842285156,-44.740928649902344,7.8651509284973145,11
-41.72550964355469,-45.012786865234375,7.878296375274658,11
-41.07491683959961,-43.94524383544922,7.776848316192627,11
-41.725364685058594,-44.42605972290039,7.87030029296875,11
-40.39158248901367,-43.1339111328125,7.7634172439575195,11
-39.6210823059082,-42.56877136230469,7.694670677185059,11
-41.34687423706055,-44.837547302246094,7.842350006103516,11
-42.47724533081055,-45.72700119018555,7.964852333068848,11
-42.388946533203125,-45.53662109375,7.948225498199463,11
-41.627559661865234,-44.75843811035156,7.869523048400879,11
-41.121795654296875,-44.026405334472656,7.777920722961426,11
-41.107303619384766,-43.819427490234375,7.76303243637085,11
-41.53836441040039,-44.410194396972656,7.810988426208496,11
-41.5233268737793,-44.795066833496094,7.836607456207275,11
-41.65473937988281,-45.10053253173828,7.873861789703369,11
-40.74775314331055,-43.64161682128906,7.7545599937438965,11
-40.866371154785156,-43.254638671875,7.710553169250488,11
-41.84943389892578,-44.588966369628906,7.835342884063721,11
-41.16319274902344,-44.478057861328125,7.820734024047852,11
-40.97673034667969,-44.27666091918945,7.819591522216797,11
-41.2585334777832,-44.17874526977539,7.817598819732666,11
-41.0684814453125,-43.709163665771484,7.75860595703125,11
-41.33553695678711,-44.520668029785156,7.807561874389648,11
-41.37627029418945,-44.929386138916016,7.8433990478515625,11
-42.021724700927734,-45.3916015625,7.9001688957214355,11
-41.87099075317383,-45.13813018798828,7.871207237243652,11
-41.74262619018555,-44.6248664855957,7.828318119049072,11
-40.795433044433594,-44.03904724121094,7.743703842163086,11
-40.733272552490234,-44.13859939575195,7.77517032623291,11
-41.968994140625,-45.06659698486328,7.9099626541137695,11
-42.1063346862793,-44.79117202758789,7.877529144287109,11
-42.12479019165039,-45.20881271362305,7.889799118041992,11
-41.241878509521484,-44.71928405761719,7.843134880065918,11
-41.85311508178711,-45.13282775878906,7.9055867195129395,11
-42.137413024902344,-45.24522399902344,7.913226127624512,11
-42.044612884521484,-44.996917724609375,7.872772216796875,11
-41.9940185546875,-44.8352165222168,7.855186939239502,11
-41.72282409667969,-45.01724624633789,7.846575736999512,11
-41.388973236083984,-44.400211334228516,7.80504846572876,11
-41.52155303955078,-44.9411506652832,7.823641777038574,11
-41.850799560546875,-45.189998626708984,7.868081569671631,11
-42.497520446777344,-45.29469299316406,7.932600498199463,11
-43.129798889160156,-46.079044342041016,8.056036949157715,11
-41.92523956298828,-45.137508392333984,7.93569278717041,11
-42.226871490478516,-45.40255355834961,7.945084095001221,11
-42.967777252197266,-45.98444366455078,7.98117733001709,11
-42.074642181396484,-44.808780670166016,7.872554302215576,11
-41.678646087646484,-45.12997055053711,7.889555931091309,11
-42.56330108642578,-46.38134765625,8.038041114807129,11
-41.64128112792969,-44.970802307128906,7.870962142944336,11
-41.3410758972168,-44.30559158325195,7.80132532119751,11
-41.345516204833984,-44.539642333984375,7.826870441436768,11
-41.60381317138672,-44.73918914794922,7.887180328369141,11
-40.887115478515625,-43.7582893371582,7.815914630889893,11
-41.48276901245117,-44.23395919799805,7.837940692901611,11
-41.42311477661133,-44.732177734375,7.827570915222168,11
-42.066654205322266,-45.39323806762695,7.937134265899658,11
-42.34776306152344,-45.3751335144043,7.969013690948486,11
-42.08147048950195,-44.83290100097656,7.8959736824035645,11
-40.84748458862305,-43.877685546875,7.745992660522461,11
-40.014556884765625,-43.7904167175293,7.706460475921631,11
